	Unnamed: 0	thread_id	total_repositories	repositories_per_thread	repositories_processed	pipelines_total	pipelines_processed	pipelines_success	pipelines_failed	success_rate	total_datasets	reads_per_pipeline	read_variable	read_var_pct	read_raw_string	read_str_pct	read_external	read_external_pct	total_reads_classified	dataset_exists	dataset_exists_pct	pipeline_rewritten	repositories_successful	repositories_success_rate
0	33.0	33	12960	360	360.0	8009.0	935.0	291.0	644.0	0.31122994652406416	535.0	1.838487972508591	529.0	0.9887850467289719	0.0	0.0	0.0	0.0	529.0	197.0	0.36822429906542054	197.0	0.0	0.0
0	5.0	5	12960	360	360.0	11057.0	1074.0	295.0	779.0	0.2746741154562384	733.0	2.4847457627118645	729.0	0.9945429740791268	0.0	0.0	0.0	0.0	729.0	183.0	0.24965893587994542	183.0	0.0	0.0
0	17.0	17	12960	360	360.0	8466.0	974.0	248.0	726.0	0.2546201232032854	506.0	2.0403225806451615	499.0	0.9861660079051383	0.0	0.0	0.0	0.0	499.0	181.0	0.3577075098814229	181.0	0.0	0.0
0	7.0	7	12960	360	360.0	12957.0	1033.0	237.0	796.0	0.22942884801548888	460.0	1.9409282700421941	449.0	0.9760869565217392	0.0	0.0	0.0	0.0	449.0	89.0	0.1934782608695652	89.0	0.0	0.0
0	16.0	16	12960	360	360.0	10132.0	1003.0	237.0	766.0	0.23629112662013957	462.0	1.9493670886075949	455.0	0.9848484848484849	0.0	0.0	0.0	0.0	455.0	129.0	0.2792207792207792	129.0	0.0	0.0
0	0.0	0	12960	360	360.0	10262.0	1078.0	302.0	776.0	0.28014842300556586	589.0	1.9503311258278146	580.0	0.9847198641765704	0.0	0.0	0.0	0.0	580.0	188.0	0.31918505942275044	188.0	0.0	0.0
0	27.0	27	12960	360	360.0	10465.0	918.0	239.0	679.0	0.26034858387799564	526.0	2.200836820083682	519.0	0.9866920152091255	0.0	0.0	0.0	0.0	519.0	167.0	0.31749049429657794	167.0	0.0	0.0
0	23.0	23	12960	360	360.0	9104.0	896.0	302.0	594.0	0.33705357142857145	865.0	2.8642384105960264	863.0	0.9976878612716763	0.0	0.0	0.0	0.0	863.0	344.0	0.3976878612716763	344.0	0.0	0.0
0	4.0	4	12960	360	360.0	11674.0	1004.0	256.0	748.0	0.2549800796812749	530.0	2.0703125	523.0	0.9867924528301887	0.0	0.0	0.0	0.0	523.0	169.0	0.31886792452830187	169.0	0.0	0.0
0	32.0	32	12960	360	360.0	11647.0	963.0	248.0	715.0	0.25752855659397716	495.0	1.9959677419354838	477.0	0.9636363636363636	0.0	0.0	0.0	0.0	477.0	120.0	0.24242424242424243	120.0	0.0	0.0
0	13.0	13	12960	360	360.0	11919.0	1017.0	263.0	754.0	0.2586037364798427	530.0	2.0152091254752853	521.0	0.9830188679245283	0.0	0.0	0.0	0.0	521.0	132.0	0.2490566037735849	132.0	0.0	0.0
0	21.0	21	12960	360	360.0	19536.0	1017.0	290.0	727.0	0.28515240904621436	559.0	1.9275862068965517	550.0	0.9838998211091234	0.0	0.0	0.0	0.0	550.0	175.0	0.31305903398926654	175.0	0.0	0.0
Total					12747.0	377553.0	35660.0	9587.0	26073.0	0.2688446438586652	20063.0	2.0927297381871286	19806.0	0.9871903503962518	0.0	0.0	0.0	0.0	19806.0	5710.0	0.2846034989782186	5710.0	0.0	
