	Unnamed: 0	thread_id	total_repositories	repositories_per_thread	repositories_processed	pipelines_total	pipelines_processed	pipelines_success	pipelines_failed	success_rate	total_datasets	reads_per_pipeline	read_variable	read_var_pct	read_raw_string	read_str_pct	read_external	read_external_pct	total_reads_classified	dataset_exists	dataset_exists_pct	pipeline_rewritten	repositories_successful	repositories_success_rate
0	26.0	26	5159	143	143.0	4367.0	361.0	109.0	252.0	0.30193905817174516	203.0	1.8623853211009174	201.0	0.9901477832512315	0.0	0.0	0.0	0.0	201.0	43.0	0.21182266009852216	43.0	0.0	0.0
0	33.0	33	5159	143	143.0	3053.0	328.0	105.0	223.0	0.3201219512195122	182.0	1.7333333333333334	182.0	1.0	0.0	0.0	0.0	0.0	182.0	49.0	0.2692307692307692	49.0	0.0	0.0
0	5.0	5	5159	143	143.0	2733.0	303.0	75.0	228.0	0.24752475247524752	141.0	1.88	138.0	0.9787234042553191	0.0	0.0	0.0	0.0	138.0	39.0	0.2765957446808511	39.0	0.0	0.0
0	17.0	17	5159	143	143.0	3095.0	350.0	86.0	264.0	0.24571428571428572	211.0	2.453488372093023	207.0	0.981042654028436	0.0	0.0	0.0	0.0	207.0	30.0	0.14218009478672985	30.0	0.0	0.0
0	7.0	7	5159	143	143.0	3151.0	430.0	197.0	233.0	0.45813953488372094	366.0	1.8578680203045685	335.0	0.9153005464480874	0.0	0.0	0.0	0.0	335.0	117.0	0.319672131147541	117.0	0.0	0.0
0	16.0	16	5159	143	143.0	2977.0	412.0	133.0	279.0	0.32281553398058255	202.0	1.518796992481203	202.0	1.0	0.0	0.0	0.0	0.0	202.0	57.0	0.28217821782178215	57.0	0.0	0.0
0	0.0	0	5159	143	143.0	1884.0	344.0	88.0	256.0	0.2558139534883721	192.0	2.1818181818181817	192.0	1.0	0.0	0.0	0.0	0.0	192.0	42.0	0.21875	42.0	0.0	0.0
0	27.0	27	5159	143	143.0	2178.0	322.0	104.0	218.0	0.32298136645962733	196.0	1.8846153846153846	196.0	1.0	0.0	0.0	0.0	0.0	196.0	86.0	0.4387755102040816	86.0	0.0	0.0
0	23.0	23	5159	143	143.0	1989.0	313.0	135.0	178.0	0.43130990415335463	288.0	2.1333333333333333	288.0	1.0	0.0	0.0	0.0	0.0	288.0	135.0	0.46875	135.0	0.0	0.0
0	4.0	4	5159	143	143.0	2973.0	371.0	120.0	251.0	0.32345013477088946	298.0	2.4833333333333334	297.0	0.9966442953020134	0.0	0.0	0.0	0.0	297.0	71.0	0.23825503355704697	71.0	0.0	0.0
0	32.0	32	5159	143	143.0	2609.0	437.0	129.0	308.0	0.2951945080091533	240.0	1.8604651162790697	239.0	0.9958333333333333	0.0	0.0	0.0	0.0	239.0	43.0	0.17916666666666667	43.0	0.0	0.0
0	13.0	13	5159	143	143.0	3678.0	402.0	110.0	292.0	0.2736318407960199	209.0	1.9	209.0	1.0	0.0	0.0	0.0	0.0	209.0	55.0	0.2631578947368421	55.0	0.0	0.0
0	21.0	21	5159	143	143.0	3009.0	352.0	82.0	270.0	0.23295454545454544	163.0	1.9878048780487805	163.0	1.0	0.0	0.0	0.0	0.0	163.0	26.0	0.15950920245398773	26.0	0.0	0.0
Total					5142.0	113247.0	13109.0	4151.0	8958.0	0.3166526813639484	8391.0	2.0214406167188628	8311.0	0.9904659754498868	0.0	0.0	0.0	0.0	8311.0	2612.0	0.3112859015611965	2612.0	0.0	
